Date,Low,High,Close,Open,Volume
20100907,57,60,59.5,58.5,10500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100908,59,59.5,59,59.5,3900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100909,59,62,60.5,59,303400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100910,60,61,60,60.5,6700
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100913,60,61,60.5,60,2300
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100914,63,64,63,60.5,126100
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100915,61,64,62.5,63,11300
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100916,62.5,65,64.5,62.5,139800
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100917,62.5,65,64.5,64.5,14400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100920,64,69,66,64.5,11600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100921,64.5,68,65.5,66,14300
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100922,61.5,66,64,65.5,91600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100923,62,65,63,64,238900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100924,62.5,65,63.5,63,28000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100927,61,64,62.5,63.5,317200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100928,60,62,60.5,62.5,48500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100929,59,61.5,60.5,60.5,63100
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20100930,60.5,62,61,60.5,12900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101001,61,66,63.5,61,88900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101004,62.5,63.5,63,63.5,13700
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101005,62.5,66,63,63,13300
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101006,63.5,64,63.5,63,21500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101007,63.5,64,63.5,63.5,14500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101008,63,64,63.5,63.5,12300
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101011,64,64,64,63.5,6800
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101012,64,66,65.5,64,153900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101013,64.5,66.5,65,65.5,24600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101014,64,65,64.5,65,18600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101015,64.5,66,65,64.5,622600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101018,58.5,65.5,58.5,65,11075400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101019,62.5,64,63,58.5,2700
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101021,64,66,65,63,8046400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101022,65,66,65.5,65,44200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101025,65.5,67,66.5,65.5,2101100
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101026,66,68,67,66.5,56100
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101027,67,68,67.5,67,1018600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101028,67.5,69,68,67.5,15000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101029,69,70,69.5,68,89300
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101101,70,72,70.5,69.5,23400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101102,69,71,69.5,70.5,25500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101103,68,70,68,69.5,128000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101104,68,70,69.5,68,259700
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101105,66.5,69,67.5,69.5,277400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101108,68,72,69.5,67.5,1100
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101109,67,68,67.5,69.5,54800
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101110,66.5,68,66.5,67.5,16600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101111,66.5,69,68,66.5,70000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101112,67.5,68,67.5,68,324500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101115,67.5,69,68.5,67.5,36000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101116,68,68.5,68,68.5,112500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101117,68,68.5,68,68,83200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101118,68,68.5,68,68,16100
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101119,67.5,69,68,68,8000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101122,66,69,68,68,408800
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101123,68,69,68,68,590600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101124,68,69,68,68,1053900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101125,68,69,68.5,68,579600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101126,68,68.5,68,68.5,14500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101129,68,68.5,68,68,510400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101130,68,68.5,68,68,27000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101201,68,68.5,68,68,24400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101202,68,68.5,68,68,30700
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101203,68,68,68,68,35400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101206,68,68.5,68,68,19600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101207,68,68,68,68,6000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101208,68,69,68.5,68,7500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101209,68,69,68,68.5,11600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101210,68,68.5,68,68,24300
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101214,68,68,68,68,56700
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101215,68,68.5,68,68,16500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101216,68,68.5,68,68,14200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101217,68,68.5,68,68,30700
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101220,68,68.5,68,68,18200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101221,68,68,68,68,9200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101222,68,68.5,68,68,6000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101223,68,68,68,68,34500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101224,68,69,68.5,68,54900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101228,68.5,68.5,68.5,68.5,900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101229,65,68.5,68,68.5,37600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101230,68,68.5,68,68,7800
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20101231,68,69,68.5,68,7600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110103,68,69,68,68.5,6900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110104,68,68.5,68,68,6600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110105,65,68,67.5,68,15600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110106,68,68,68,67.5,7700
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110107,68,68.5,68,68,5900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110110,65,68,67.5,68,4300
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110111,66,68.5,66.5,67.5,1400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110112,66,68.5,66,66.5,3500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110113,65,66,65,66,4300
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110114,66,67,66,65,314400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110117,66,66.5,66,66,7300
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110118,66,66,66,66,16200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110119,60,63.5,61,66,6200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110120,64.5,65,64.5,61,1700
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110121,64,65,64,64.5,1900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110124,64,65.5,65,64,6800
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110125,64,65,64.5,65,18100
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110126,64,65,64,64.5,1200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110127,64.5,67,66.5,64,114600
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110128,65,66.5,66,66.5,5300
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110131,65,67.5,65,66,23900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110201,65,68,65,65,7500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110202,65,67.5,65,65,4900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110203,65,67.5,65,65,29200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110204,65,67.5,65.5,65,900
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110207,65,68,65,65.5,21300
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110208,66,67,66.5,65,50700
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110209,65,67,66.5,66.5,245700
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110210,66.5,66.5,66.5,66.5,1200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110211,66,66.5,66,66.5,4500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110214,65,66,65,66,8500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110215,65,65,65,65,22800
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110216,65,66,65.5,65,18000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110217,65.5,66,65.5,65.5,22500
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
20110218,66,66,66,65.5,3400
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
